"low_bound_PC" "upper_bound_PC" "mid_wind_PC" "Nb_SNP_PCA" "pca_asse1" "pca_asse2"
"1" 1 1000001 500001 "613" 0.272640984803405 0.0980117553143954
"2" 500001 1500001 1000001 "541" 0.261942942937528 0.114255733405926
"3" 1000001 2000001 1500001 "477" 0.250417222656504 0.127084821267938
"4" 1500001 2500001 2000001 "305" 0.231356789577901 0.154790213041068
"5" 2000001 3000001 2500001 "Na" NA NA
"6" 2500001 3500001 3000001 "306" 0.303964085275476 0.16303954250467
"7" 3000001 4000001 3500001 "306" 0.318641580332141 0.136850132405429
"8" 3500001 4500001 4000001 "Na" NA NA
"9" 4000001 5000001 4500001 "427" 0.188890245972038 0.159365646650244
"10" 4500001 5500001 5000001 "837" 0.230456395466786 0.148726080273233
"11" 5000001 6000001 5500001 "1188" 0.301153805327523 0.110629984802313
"12" 5500001 6500001 6000001 "3399" 0.474082847240915 0.0862867729380102
"13" 6000001 7000001 6500001 "3043" 0.473114551303841 0.0878028094309731
"14" 6500001 7500001 7000001 "578" 0.138938687768297 0.109121838731344
"15" 7000001 8000001 7500001 "688" 0.196795958394977 0.125006816641789
"16" 7500001 8500001 8000001 "940" 0.200292489188034 0.142105464185309
"17" 8000001 9000001 8500001 "1360" 0.164943408918171 0.126442990599533
"18" 8500001 9500001 9000001 "1633" 0.164336247063059 0.0971609317453276
"19" 9000001 10000001 9500001 "878" 0.148294907891689 0.131128864041872
"20" 9500001 10500001 10000001 "Na" NA NA
"21" 10000001 11000001 10500001 "322" 0.30866066704498 0.147604357451495
"22" 10500001 11500001 11000001 "430" 0.262136202622548 0.123454637514958
"23" 11000001 12000001 11500001 "409" 0.215924230037986 0.134530554258734
"24" 11500001 12500001 12000001 "396" 0.16951131371703 0.133119459483
"25" 12000001 13000001 12500001 "528" 0.177017085826964 0.126657571300425
"26" 12500001 13500001 13000001 "1518" 0.293071899999137 0.10495858166643
"27" 13000001 14000001 13500001 "1785" 0.230637132644134 0.115143913772874
"28" 13500001 14500001 14000001 "769" 0.186161714530135 0.161069069361018
"29" 14000001 15000001 14500001 "Na" NA NA
"30" 14500001 15500001 15000001 "Na" NA NA
"31" 15000001 16000001 15500001 "468" 0.252711754617822 0.0914133144279245
"32" 15500001 16500001 16000001 "479" 0.254337890598285 0.185812730904414
"33" 16000001 17000001 16500001 "389" 0.241809426061016 0.197999576274731
"34" 16500001 17500001 17000001 "429" 0.199764682816745 0.143501341870812
"35" 17000001 18000001 17500001 "516" 0.196746261380025 0.138785000665518
"36" 17500001 18500001 18000001 "529" 0.204500565918056 0.11124065434059
"37" 18000001 19000001 18500001 "482" 0.199558868413593 0.126672194603499
"38" 18500001 19500001 19000001 "376" 0.192056648488536 0.130543719439366
"39" 19000001 20000001 19500001 "422" 0.188195612237839 0.133130378097575
"40" 19500001 20500001 20000001 "444" 0.189270738281789 0.138066803191858
"41" 20000001 21000001 20500001 "404" 0.177565851842804 0.111666688727409
"42" 20500001 21500001 21000001 "398" 0.192495281333938 0.150007259887878
"43" 21000001 22000001 21500001 "342" 0.226318549560939 0.150188891945118
"44" 21500001 22500001 22000001 "374" 0.185657043496715 0.151497895592373
"45" 22000001 23000001 22500001 "524" 0.179033954169408 0.14830301493283
"46" 22500001 23500001 23000001 "607" 0.170414491646444 0.159672377011104
"47" 23000001 24000001 23500001 "469" 0.213569748661238 0.135673099460597
"48" 23500001 24500001 24000001 "386" 0.245377899700447 0.147713337707983
"49" 24000001 25000001 24500001 "353" 0.272750816901236 0.156769810696061
"50" 24500001 25500001 25000001 "Na" NA NA
"51" 25000001 26000001 25500001 "349" 0.218918387754124 0.165221556654062
"52" 25500001 26500001 26000001 "351" 0.226080118195781 0.156767438785198
"53" 26000001 27000001 26500001 "374" 0.159045234809495 0.141789371674941
"54" 26500001 27500001 27000001 "573" 0.265205469827369 0.162082521637376
"55" 27000001 28000001 27500001 "550" 0.331573984188079 0.147742369964668
"56" 27500001 28500001 28000001 "347" 0.294055101075273 0.14264758359044
"57" 28000001 29000001 28500001 "318" 0.163559627670146 0.158810232362557
"58" 28500001 29500001 29000001 "368" 0.173036437027721 0.160285979506959
"59" 29000001 30000001 29500001 "363" 0.202886162070057 0.153424180641833
"60" 29500001 30500001 30000001 "382" 0.223164732657276 0.130663690006312
"61" 30000001 31000001 30500001 "473" 0.377631752732871 0.134552948725671
"62" 30500001 31500001 31000001 "368" 0.416610284520297 0.112885293009334
"63" 31000001 32000001 31500001 "Na" NA NA
"64" 31500001 32500001 32000001 "347" 0.19821064643612 0.178153202489777
"65" 32000001 33000001 32500001 "402" 0.173739992371041 0.145955139419987
"66" 32500001 33500001 33000001 "351" 0.187552973883912 0.128232986577354
"67" 33000001 34000001 33500001 "341" 0.217224099006408 0.176573189877017
"68" 33500001 34500001 34000001 "370" 0.296205856715341 0.146912775757388
"69" 34000001 35000001 34500001 "321" 0.238798834101247 0.197575345720632
"70" 34500001 35500001 35000001 "Na" NA NA
"71" 35000001 36000001 35500001 "304" 0.20930455036854 0.179485996347732
"72" 35500001 36500001 36000001 "378" 0.195432140359718 0.154684685712399
"73" 36000001 37000001 36500001 "399" 0.27046205218935 0.165796427782476
"74" 36500001 37500001 37000001 "404" 0.248119382162736 0.155983874216673
"75" 37000001 38000001 37500001 "377" 0.271283671266629 0.156747109236591
"76" 37500001 38500001 38000001 "371" 0.303755135295299 0.131758972019525
"77" 38000001 39000001 38500001 "382" 0.225870100024436 0.160558997741771
"78" 38500001 39500001 39000001 "463" 0.212976307497273 0.13046578399669
"79" 39000001 40000001 39500001 "521" 0.195471117071564 0.180814727972032
"80" 39500001 40500001 40000001 "531" 0.233849348068395 0.170304239069167
"81" 40000001 41000001 40500001 "515" 0.237725258809675 0.138901486947671
"82" 40500001 41500001 41000001 "325" 0.1901455642288 0.154153815800053
"83" 41000001 42000001 41500001 "Na" NA NA
"84" 41500001 42500001 42000001 "337" 0.202069695227751 0.191378635844697
"85" 42000001 43000001 42500001 "Na" NA NA
"86" 42500001 43500001 43000001 "Na" NA NA
"87" 43000001 44000001 43500001 "372" 0.210340097615808 0.156928762791807
"88" 43500001 44500001 44000001 "352" 0.207965405845054 0.144336358112298
"89" 44000001 45000001 44500001 "308" 0.23222870764201 0.163633903055651
"90" 44500001 45500001 45000001 "Na" NA NA
"91" 45000001 46000001 45500001 "303" 0.257016790535603 0.175668712843336
"92" 45500001 46500001 46000001 "328" 0.258897535401845 0.16927380535738
"93" 46000001 47000001 46500001 "347" 0.235469982745899 0.153786333891306
"94" 46500001 47500001 47000001 "343" 0.290720724970175 0.164305079526957
"95" 47000001 48000001 47500001 "Na" NA NA
"96" 47500001 48500001 48000001 "Na" NA NA
"97" 48000001 49000001 48500001 "337" 0.282853933062994 0.166206777851715
"98" 48500001 49500001 49000001 "350" 0.254770303235458 0.197932314025045
"99" 49000001 50000001 49500001 "Na" NA NA
"100" 49500001 50500001 50000001 "Na" NA NA
"101" 50000001 51000001 50500001 "Na" NA NA
"102" 50500001 51500001 51000001 "Na" NA NA
"103" 51000001 52000001 51500001 "Na" NA NA
"104" 51500001 52500001 52000001 "382" 0.391594132131198 0.124768875112193
"105" 52000001 53000001 52500001 "354" 0.35554969963534 0.240683244376041
"106" 52500001 53500001 53000001 "314" 0.329773512038336 0.209107885755928
"107" 53000001 54000001 53500001 "Na" NA NA
"108" 53500001 54500001 54000001 "343" 0.263114625217146 0.154525937293911
"109" 54000001 55000001 54500001 "377" 0.204373686750313 0.172132627115007
"110" 54500001 55500001 55000001 "555" 0.274944764231923 0.151595948557222
"111" 55000001 56000001 55500001 "618" 0.365605151466798 0.128243965282649
"112" 55500001 56500001 56000001 "501" 0.290418321069551 0.137583271137709
"113" 56000001 57000001 56500001 "409" 0.170133424221873 0.161813404841897
"114" 56500001 57500001 57000001 "304" 0.19891701545386 0.162636214989532
"115" 57000001 58000001 57500001 "Na" NA NA
"116" 57500001 58500001 58000001 "Na" NA NA
"117" 58000001 59000001 58500001 "787" 0.280078068250424 0.137097125969463
"118" 58500001 59500001 59000001 "735" 0.244580642838815 0.146181752791491
"119" 59000001 60000001 59500001 "Na" NA NA
"120" 59500001 60500001 60000001 "Na" NA NA
"121" 60000001 61000001 60500001 "Na" NA NA
"122" 60500001 61500001 61000001 "Na" NA NA
"123" 61000001 62000001 61500001 "Na" NA NA
"124" 61500001 62500001 62000001 "Na" NA NA
"125" 62000001 63000001 62500001 "382" 0.214425404963172 0.187048336299559
"126" 62500001 63500001 63000001 "383" 0.201207119919045 0.152133912215556
"127" 63000001 64000001 63500001 "Na" NA NA
"128" 63500001 64500001 64000001 "345" 0.267369199898918 0.215129444620237
"129" 64000001 65000001 64500001 "375" 0.273844778667756 0.181948056134541
"130" 64500001 65500001 65000001 "Na" NA NA
"131" 65000001 66000001 65500001 "Na" NA NA
"132" 65500001 66500001 66000001 "Na" NA NA
"133" 66000001 67000001 66500001 "Na" NA NA
"134" 66500001 67500001 67000001 "380" 0.317800511806927 0.175821793460341
"135" 67000001 68000001 67500001 "332" 0.330167982608849 0.133151474080273
"136" 67500001 68500001 68000001 "413" 0.339293809114978 0.236321538743646
"137" 68000001 69000001 68500001 "415" 0.376132602894552 0.167746907068337
"138" 68500001 69500001 69000001 "Na" NA NA
"139" 69000001 70000001 69500001 "Na" NA NA
"140" 69500001 70500001 70000001 "Na" NA NA
"141" 70000001 71000001 70500001 "316" 0.476308061803775 0.16506406215284
"142" 70500001 71500001 71000001 "312" 0.482894479363671 0.133482607239239
"143" 71000001 72000001 71500001 "399" 0.264822586538002 0.154718195623802
"144" 71500001 72500001 72000001 "670" 0.22800055601621 0.193479113019579
"145" 72000001 73000001 72500001 "537" 0.334797393414973 0.18496569945918
"146" 72500001 73500001 73000001 "306" 0.459266960895403 0.168524054879981
"147" 73000001 74000001 73500001 "Na" NA NA
"148" 73500001 74500001 74000001 "351" 0.341397188670528 0.186121600688797
"149" 74000001 75000001 74500001 "469" 0.414320310038878 0.166867497756364
"150" 74500001 75500001 75000001 "Na" NA NA
