"asse_x" "eta_2"
"1" 0.0238095238095238 0.273168401468296
"2" 0.0476190476190476 0.201867825943855
"3" 0.0714285714285714 0.225167651778
"4" 0.0952380952380952 0.206365967717604
"5" 0.119047619047619 0.241443702372953
"6" 0.142857142857143 0.218708429901672
"7" 0.166666666666667 0.243032222968865
"8" 0.19047619047619 0.249921145380491
"9" 0.214285714285714 0.220621511540202
"10" 0.238095238095238 0.225272791270679
"11" 0.261904761904762 0.22446824558757
"12" 0.285714285714286 0.227101304186837
"13" 0.30952380952381 0.232655412169668
"14" 0.333333333333333 0.16665066717865
"15" 0.357142857142857 0.21290747267516
"16" 0.380952380952381 0.200624437160868
"17" 0.404761904761905 0.187479714934836
"18" 0.428571428571429 0.201428982843978
"19" 0.452380952380952 0.23372509222562
"20" 0.476190476190476 0.240358022828984
"21" 0.5 0.298358452529519
