"asse_x" "eta_2"
"1" 0.0238095238095238 0.262243876529591
"2" 0.0476190476190476 0.204776204776205
"3" 0.0714285714285714 0.212722927008641
"4" 0.0952380952380952 0.217360217360217
"5" 0.119047619047619 0.236961451247166
"6" 0.142857142857143 0.217098731384446
"7" 0.166666666666667 0.228228228228228
"8" 0.19047619047619 0.240044125758411
"9" 0.214285714285714 0.215388858246001
"10" 0.238095238095238 0.241874527588813
"11" 0.261904761904762 0.211074339645768
"12" 0.285714285714286 0.205920205920206
"13" 0.30952380952381 0.221805478948336
"14" 0.333333333333333 0.230630630630631
"15" 0.357142857142857 0.210976282404854
"16" 0.380952380952381 0.204808890523176
"17" 0.404761904761905 0.252650609793467
"18" 0.428571428571429 0.244456701599559
"19" 0.452380952380952 0.244607873179302
"20" 0.476190476190476 0.253477967763682
"21" 0.5 0.306306306306306
