per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.53 27000000.5 62 16 12 7 7 1 1 2 0 0 0 2 0 1 1 1 5 1 0 2 2 0
temp_spectre.54 27500000.5 66 7 7 5 7 3 1 5 1 3 4 3 0 3 2 2 4 1 1 2 3 0
temp_spectre.55 28000000.5 68 15 10 3 7 6 0 4 1 3 5 1 1 2 1 2 1 0 2 1 1 0
temp_spectre.56 28500000.5 70 24 12 6 5 7 1 6 0 0 1 1 2 0 0 0 1 0 1 2 0 0
temp_spectre.57 29000000.5 84 27 10 8 9 3 3 9 0 1 3 1 4 0 0 0 0 1 0 2 0 1
temp_spectre.58 29500000.5 93 36 14 7 8 3 2 6 0 1 3 2 3 0 0 0 0 2 1 0 0 3
temp_spectre.59 30000000.5 62 22 13 3 1 9 0 6 0 0 1 2 0 0 0 0 0 1 2 0 0 2
temp_spectre.60 30500000.5 54 15 6 3 1 7 6 7 0 0 4 0 0 0 1 0 0 0 2 0 2 0
temp_spectre.61 31000000.5 80 19 5 9 0 2 6 5 4 2 4 0 1 1 8 6 2 1 1 1 2 0
temp_spectre.62 31500000.5 74 13 4 9 2 2 4 3 4 2 3 1 2 2 7 6 2 1 3 1 0 0
temp_spectre.63 32000000.5 103 28 9 15 5 12 6 2 4 0 3 3 1 1 1 2 2 1 3 0 0 0
temp_spectre.64 32500000.5 118 53 11 12 3 12 2 1 4 2 1 3 2 0 2 3 2 1 1 0 0 0
temp_spectre.65 33000000.5 59 33 4 3 2 1 1 2 1 2 0 1 2 0 2 1 0 0 1 0 1 0
temp_spectre.66 33500000.5 49 14 3 5 2 3 1 3 2 0 1 1 6 0 1 1 0 0 0 1 3 0
temp_spectre.67 34000000.5 50 14 2 4 0 5 1 1 3 3 2 1 7 0 1 1 0 1 0 2 2 0
temp_spectre.68 34500000.5 63 8 8 7 2 4 3 0 6 7 2 3 4 3 1 1 0 1 1 1 0 0
temp_spectre.69 35000000.5 71 14 10 6 3 3 2 0 5 4 3 3 4 3 2 2 0 1 2 0 0 0
temp_spectre.70 35500000.5 74 33 9 5 1 2 1 1 1 3 2 0 2 0 4 1 0 1 2 0 1 0
temp_spectre.71 36000000.5 92 38 11 6 2 3 4 5 1 5 3 1 1 0 3 0 1 0 2 1 3 0
temp_spectre.72 36500000.5 87 27 10 5 10 7 4 6 1 2 3 2 0 0 2 1 2 1 1 1 2 0
temp_spectre.73 37000000.5 67 21 9 4 9 5 5 4 0 0 0 1 1 3 2 1 1 1 0 0 0 0
temp_spectre.74 37500000.5 51 20 5 2 1 2 6 2 1 0 1 0 1 3 1 1 0 4 1 0 0 0
temp_spectre.75 38000000.5 54 17 3 2 4 3 5 0 2 0 2 0 1 1 0 1 1 4 3 0 3 0
temp_spectre.76 38500000.5 63 20 3 5 4 3 3 3 1 1 2 0 2 2 1 1 1 0 4 0 5 0
temp_spectre.77 39000000.5 55 20 2 9 1 3 1 3 0 2 1 0 2 1 1 2 3 0 2 0 2 0
temp_spectre.78 39500000.5 30 5 3 5 1 1 2 0 3 1 0 1 2 0 0 1 3 1 1 0 0 0
temp_spectre.79 40000000.5 217 21 13 2 2 1 3 4 7 8 4 3 5 12 10 11 6 25 13 35 30 0
temp_spectre.80 40500000.5 286 33 14 6 6 12 5 8 8 18 10 2 4 15 12 11 9 24 12 35 33 0
temp_spectre.81 41000000.5 116 23 7 7 7 12 5 5 4 11 7 0 2 3 4 1 3 0 1 1 3 0
temp_spectre.82 41500000.5 96 27 7 6 11 2 10 3 1 1 3 0 2 0 3 2 2 3 7 1 2 0
temp_spectre.83 42000000.5 112 42 5 8 11 5 11 3 2 2 2 0 0 1 1 1 2 3 9 0 3 1
temp_spectre.84 42500000.5 74 30 5 5 5 6 4 2 2 2 0 1 0 1 0 0 0 0 3 1 3 1
temp_spectre.85 43000000.5 61 16 5 1 5 2 2 5 2 1 0 8 3 0 0 0 0 0 4 2 2 0
temp_spectre.86 43500000.5 71 21 4 4 3 3 3 8 1 1 0 7 4 0 3 0 1 0 4 1 0 0
temp_spectre.87 44000000.5 59 17 4 6 1 5 4 4 0 0 2 4 1 0 3 0 1 0 2 0 1 0
temp_spectre.88 44500000.5 50 12 7 4 2 3 3 1 0 1 2 4 0 0 1 0 0 3 3 1 1 0
temp_spectre.89 45000000.5 52 8 11 7 1 1 1 3 0 1 1 1 2 1 1 0 4 6 1 1 0 0
temp_spectre.90 45500000.5 62 8 9 6 2 4 3 2 5 3 2 1 3 2 0 0 4 3 3 0 0 1
temp_spectre.91 46000000.5 63 11 5 1 2 4 3 1 5 6 1 3 1 2 0 5 1 1 5 2 1 1
temp_spectre.92 46500000.5 60 14 4 5 2 0 1 3 0 4 1 4 0 1 0 5 4 2 2 2 4 0
temp_spectre.93 47000000.5 69 12 10 5 2 0 1 3 1 2 3 2 1 0 2 0 15 3 1 0 4 0
temp_spectre.94 47500000.5 91 16 14 4 3 1 3 2 1 5 5 1 3 2 4 3 12 2 5 0 3 0
temp_spectre.95 48000000.5 80 18 10 3 6 4 4 2 0 5 5 0 3 2 2 3 1 0 4 1 5 1
temp_spectre.96 48500000.5 53 13 7 1 3 10 1 2 0 1 2 0 1 0 1 0 1 3 0 2 4 1
temp_spectre.97 49000000.5 70 14 13 5 1 9 3 2 2 2 0 4 3 0 2 0 2 3 0 1 3 0
temp_spectre.98 49500000.5 61 12 12 5 3 2 3 4 2 3 0 4 4 0 1 0 2 0 0 0 3 0
