per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.224 113500000.5 55 18 7 3 1 1 0 3 1 0 1 5 0 0 3 2 2 0 0 0 0 0
temp_spectre.225 114000000.5 46 22 5 6 1 0 0 0 0 0 2 1 0 0 2 0 2 0 0 2 0 0
temp_spectre.226 114500000.5 38 21 3 4 1 0 0 0 1 1 2 1 0 0 0 1 0 0 1 2 0 0
temp_spectre.227 115000000.5 50 23 5 2 0 0 0 0 1 1 2 2 0 0 0 1 1 10 1 1 0 0
temp_spectre.228 115500000.5 52 21 5 2 0 0 2 0 0 0 1 3 1 0 0 0 4 11 0 1 0 0
temp_spectre.229 116000000.5 48 14 9 2 1 1 2 2 2 2 3 3 1 1 0 0 3 1 0 0 0 0
temp_spectre.230 116500000.5 49 10 11 3 2 3 1 4 2 3 4 1 0 1 1 1 0 0 1 0 1 0
temp_spectre.231 117000000.5 53 14 10 2 5 4 2 3 0 1 2 0 0 2 1 1 2 0 1 0 1 0
temp_spectre.232 117500000.5 97 23 14 11 10 5 3 2 2 1 4 3 5 2 0 0 2 0 3 4 0 0
temp_spectre.233 118000000.5 149 35 14 21 18 6 7 2 3 4 14 3 5 1 1 0 7 0 3 4 0 0
temp_spectre.234 118500000.5 110 26 8 10 15 6 5 13 1 4 11 0 0 2 1 1 7 0 0 0 0 0
temp_spectre.235 119000000.5 53 13 5 5 6 3 0 12 1 2 0 0 1 1 0 1 0 0 0 0 1 0
temp_spectre.236 119500000.5 49 15 10 6 3 2 0 0 1 1 0 0 3 0 2 0 0 0 1 0 1 0
temp_spectre.237 120000000.5 56 15 9 6 0 2 8 0 0 1 0 1 5 0 4 0 0 0 2 1 0 0
temp_spectre.238 120500000.5 70 20 6 7 0 8 10 0 1 2 1 1 4 1 3 1 1 1 2 1 0 0
temp_spectre.239 121000000.5 69 28 6 4 1 8 2 1 4 1 2 1 1 2 1 1 1 2 1 0 0 0
temp_spectre.240 121500000.5 65 26 10 4 3 2 0 1 3 2 3 2 2 1 0 0 0 2 2 0 0 0
temp_spectre.241 122000000.5 66 24 10 2 7 2 4 0 1 2 2 1 2 0 0 0 1 2 2 1 2 0
temp_spectre.242 122500000.5 61 27 8 1 6 0 5 0 2 0 0 1 0 0 1 0 1 1 1 1 4 0
temp_spectre.243 123000000.5 89 32 13 2 5 4 3 0 2 2 0 6 0 5 2 2 0 0 1 0 4 0
temp_spectre.244 123500000.5 131 43 11 8 7 4 2 4 10 6 0 7 1 6 1 3 0 0 3 5 2 0
temp_spectre.245 124000000.5 103 38 4 8 4 0 2 4 11 7 2 2 1 1 0 3 0 2 3 7 1 0
temp_spectre.246 124500000.5 86 22 5 3 3 2 3 9 6 3 6 5 0 2 6 3 0 2 1 4 1 0
temp_spectre.247 125000000.5 108 23 12 2 4 3 3 12 6 1 4 5 0 3 12 1 1 6 5 3 2 0
temp_spectre.248 125500000.5 82 22 12 3 4 1 2 6 3 1 0 2 0 1 6 0 2 6 4 2 2 0
temp_spectre.249 126000000.5 71 33 7 3 4 1 0 4 1 1 3 4 0 0 0 0 1 1 0 2 0 0
temp_spectre.250 126500000.5 72 35 12 2 2 3 0 2 0 1 3 2 0 0 2 0 0 2 0 1 2 0
temp_spectre.251 127000000.5 60 23 10 7 0 2 0 1 1 3 1 1 0 0 6 1 1 1 0 0 2 0
temp_spectre.252 127500000.5 70 32 4 8 6 0 0 0 1 4 1 1 0 0 5 2 2 0 1 0 0 0
temp_spectre.253 128000000.5 66 30 9 3 8 0 0 1 1 1 1 1 1 0 2 1 1 1 2 0 0 0
temp_spectre.254 128500000.5 61 20 17 3 5 1 0 1 2 0 1 1 2 0 2 2 1 1 1 0 0 0
temp_spectre.255 129000000.5 55 12 15 6 4 1 0 1 2 2 0 3 1 2 1 2 1 0 0 0 0 0
temp_spectre.256 129500000.5 39 7 4 7 2 0 1 1 3 4 0 3 0 2 0 1 1 0 1 0 0 0
temp_spectre.257 130000000.5 54 14 1 7 2 0 4 0 9 3 2 0 1 0 0 3 3 0 2 2 0 0
temp_spectre.258 130500000.5 64 18 4 5 1 0 5 1 8 2 3 0 1 0 1 4 3 0 2 3 2 0
temp_spectre.259 131000000.5 71 17 3 4 5 0 4 2 1 6 2 4 1 0 3 3 3 2 3 3 2 0
temp_spectre.260 131500000.5 79 17 4 5 8 1 4 2 1 5 5 8 2 0 3 1 2 2 2 2 0 1
temp_spectre.261 132000000.5 92 20 8 6 6 8 6 3 14 1 4 6 1 0 1 0 1 0 0 0 2 2
temp_spectre.262 132500000.5 75 11 5 6 4 7 4 2 23 1 0 3 0 0 0 0 2 2 1 0 2 1
temp_spectre.263 133000000.5 45 3 4 4 3 1 4 0 11 2 1 1 1 1 0 1 3 2 1 0 1 1
temp_spectre.264 133500000.5 38 5 3 2 2 1 4 0 1 2 3 2 1 5 0 1 2 0 0 2 1 1
temp_spectre.265 134000000.5 66 21 2 7 0 9 0 0 0 0 4 2 1 7 0 0 0 3 0 9 1 0
temp_spectre.266 134500000.5 108 37 7 9 1 12 1 1 5 3 4 1 1 10 1 1 1 3 0 9 1 0
temp_spectre.267 135000000.5 100 24 6 12 8 4 2 5 12 4 3 2 0 7 1 3 3 2 0 2 0 0
temp_spectre.268 135500000.5 158 27 17 16 10 8 9 15 7 7 2 2 2 1 2 10 4 4 5 4 3 2
temp_spectre.269 136000000.5 148 26 17 7 8 8 8 15 1 9 2 2 2 1 7 8 2 6 5 8 3 2
temp_spectre.270 136500000.5 67 12 4 1 10 2 5 4 1 4 5 1 1 2 6 0 0 5 0 4 0 0
temp_spectre.271 137000000.5 67 13 7 12 8 3 6 0 0 3 4 2 1 2 1 1 0 1 0 0 3 0
temp_spectre.272 137500000.5 86 22 6 11 6 5 2 0 19 4 0 3 0 0 0 1 0 2 0 1 4 0
temp_spectre.273 138000000.5 71 21 5 0 3 4 3 0 20 3 0 1 1 0 1 0 0 3 1 3 1 0
temp_spectre.274 138500000.5 51 15 9 0 2 1 3 2 1 1 1 0 3 0 3 0 1 2 1 3 2 0
temp_spectre.275 139000000.5 54 16 12 1 2 2 1 2 0 1 1 0 2 0 2 0 1 1 0 3 5 0
temp_spectre.276 139500000.5 43 9 6 3 0 2 0 0 0 1 2 10 1 0 0 0 0 0 0 3 3 0
temp_spectre.277 140000000.5 39 8 2 3 0 0 0 0 0 0 3 10 1 0 0 0 4 3 1 1 2 0
temp_spectre.278 140500000.5 39 11 5 3 0 0 0 4 0 1 3 0 0 1 0 0 4 3 1 0 3 0
temp_spectre.279 141000000.5 77 14 4 2 2 6 5 5 2 2 6 3 8 1 3 4 0 1 1 1 5 1
temp_spectre.280 141500000.5 92 25 7 1 4 6 5 3 2 1 4 3 8 0 3 5 0 5 1 1 5 1
temp_spectre.281 142000000.5 62 26 8 4 4 2 5 2 0 1 1 0 0 0 0 2 0 4 0 0 1 1
temp_spectre.282 142500000.5 120 37 18 8 13 8 5 2 2 6 5 0 2 2 0 1 0 2 2 1 2 3
temp_spectre.283 143000000.5 133 49 19 8 12 9 4 3 4 5 4 1 2 2 0 0 0 2 2 1 2 3
temp_spectre.284 143500000.5 75 24 5 5 3 8 5 2 3 0 0 1 0 1 1 1 5 3 5 0 1 1
temp_spectre.285 144000000.5 60 7 2 5 7 6 2 2 2 0 0 0 1 2 3 1 5 3 5 1 1 3
temp_spectre.286 144500000.5 47 8 4 3 5 4 2 1 4 0 0 1 1 2 2 1 1 0 0 3 0 3
temp_spectre.287 145000000.5 72 20 8 5 1 5 2 1 6 0 1 2 0 2 5 1 2 0 6 2 2 0
temp_spectre.288 145500000.5 78 23 5 5 3 4 2 3 6 2 2 2 0 5 5 0 3 0 6 0 2 0
temp_spectre.289 146000000.5 67 22 9 1 3 5 3 3 3 3 2 1 1 6 0 2 2 0 0 0 0 0
temp_spectre.290 146500000.5 64 23 10 2 3 6 3 4 3 1 2 0 1 2 1 2 0 0 0 0 0 0
temp_spectre.291 147000000.5 45 13 6 1 4 3 2 4 3 2 3 0 0 0 1 0 0 1 0 1 0 0
temp_spectre.292 147500000.5 69 11 24 1 4 1 2 1 0 2 6 0 2 0 1 0 0 3 7 3 0 0
temp_spectre.293 148000000.5 89 21 25 7 3 2 1 0 1 1 9 1 2 1 1 0 1 4 7 2 0 0
temp_spectre.294 148500000.5 70 24 9 9 2 3 1 1 3 2 6 1 0 1 1 0 1 2 0 0 0 0
temp_spectre.295 149000000.5 61 19 10 5 1 2 2 1 2 1 1 2 1 0 4 1 1 1 0 0 0 0
temp_spectre.296 149500000.5 66 19 10 4 2 3 6 0 2 3 1 2 1 0 4 2 1 1 0 0 0 1
temp_spectre.297 150000000.5 58 14 5 3 3 7 9 1 4 3 1 0 1 0 1 1 0 0 1 1 0 1
temp_spectre.298 150500000.5 66 20 2 3 1 5 8 4 3 3 6 0 3 3 1 0 0 0 2 1 0 0
temp_spectre.299 151000000.5 78 18 4 4 2 1 6 3 2 6 8 8 4 4 4 0 1 0 1 0 2 0
temp_spectre.300 151500000.5 76 17 4 7 6 2 3 2 2 3 3 10 2 2 3 2 1 4 1 0 2 0
temp_spectre.301 152000000.5 73 26 4 6 10 2 2 4 2 1 2 2 0 1 0 2 1 5 1 0 2 0
temp_spectre.302 152500000.5 84 20 11 9 11 4 7 2 3 3 2 1 0 1 3 0 2 2 0 0 3 0
temp_spectre.303 153000000.5 101 28 18 9 9 4 6 4 4 3 1 2 1 3 3 1 1 1 0 2 1 0
temp_spectre.304 153500000.5 72 27 14 3 4 1 1 4 3 1 0 1 1 2 0 4 0 1 1 2 1 0
temp_spectre.305 154000000.5 55 11 10 4 1 4 1 1 3 5 1 0 0 0 1 4 0 1 3 0 3 0
temp_spectre.306 154500000.5 56 10 19 2 2 3 0 1 2 6 1 0 0 0 1 2 0 1 2 0 3 0
temp_spectre.307 155000000.5 75 19 15 4 11 6 3 1 5 2 0 1 1 0 0 3 2 1 0 0 1 0
temp_spectre.308 155500000.5 97 19 7 8 12 8 12 3 5 2 0 4 4 1 3 2 2 0 2 3 0 0
temp_spectre.309 156000000.5 71 9 7 4 7 3 9 3 1 1 2 4 5 1 3 1 0 0 2 4 0 0
temp_spectre.310 156500000.5 83 32 5 3 9 4 3 1 1 1 3 2 6 1 0 1 0 2 0 3 0 0
temp_spectre.311 157000000.5 123 41 10 8 4 4 8 3 2 2 3 7 8 4 2 4 0 3 2 3 0 2
temp_spectre.312 157500000.5 129 20 16 18 2 4 7 3 5 6 4 7 4 5 3 8 1 2 4 1 3 3
temp_spectre.313 158000000.5 108 19 11 15 6 6 3 1 3 6 6 1 1 7 7 4 1 1 3 0 3 3
temp_spectre.314 158500000.5 82 15 6 9 6 8 1 1 2 3 5 0 1 7 6 0 3 0 2 1 0 5
temp_spectre.315 159000000.5 80 14 10 9 4 14 1 1 2 3 1 0 1 4 1 0 3 2 1 2 2 4
temp_spectre.316 159500000.5 101 25 11 7 7 9 1 10 2 1 0 1 3 3 1 6 0 4 1 3 4 2
temp_spectre.317 160000000.5 106 26 12 10 8 1 1 13 2 0 0 4 2 1 4 11 0 3 3 2 2 1
temp_spectre.318 160500000.5 100 29 12 11 5 4 5 4 0 0 2 4 2 3 4 5 0 4 2 0 1 1
temp_spectre.319 161000000.5 112 33 9 8 5 7 6 3 3 0 4 3 4 4 1 3 3 7 1 0 1 2
temp_spectre.320 161500000.5 98 25 5 4 4 7 2 3 9 0 2 4 2 2 3 3 3 7 4 1 1 1
temp_spectre.321 162000000.5 66 14 2 3 4 4 0 1 6 0 3 3 0 1 5 1 0 3 6 3 4 0
temp_spectre.322 162500000.5 69 17 6 3 4 2 5 3 7 0 4 2 0 0 3 1 1 1 4 2 4 0
temp_spectre.323 163000000.5 91 21 7 4 4 1 9 2 9 1 1 4 1 2 2 10 5 2 2 0 1 3
temp_spectre.324 163500000.5 102 18 9 5 10 3 9 3 3 1 1 6 3 4 3 12 4 2 1 0 1 3
temp_spectre.325 164000000.5 98 21 15 7 9 5 5 4 2 0 1 4 2 5 2 3 5 1 1 0 3 0
temp_spectre.326 164500000.5 118 28 13 9 7 2 0 3 4 2 6 4 5 5 3 2 7 5 1 2 6 0
temp_spectre.327 165000000.5 96 20 7 6 5 1 1 5 6 2 7 6 6 2 3 2 2 7 0 2 4 0
temp_spectre.328 165500000.5 76 14 4 6 1 4 2 3 6 0 6 7 4 2 3 2 1 3 1 1 4 0
temp_spectre.329 166000000.5 127 22 13 11 5 6 2 6 7 4 14 5 4 2 3 5 2 2 2 3 6 1
temp_spectre.330 166500000.5 121 22 14 8 4 7 3 8 8 5 14 2 2 0 1 7 2 3 3 2 3 1
temp_spectre.331 167000000.5 105 23 9 5 1 8 4 6 8 4 6 1 2 3 2 4 2 4 2 1 4 1
temp_spectre.332 167500000.5 98 18 14 5 1 10 3 5 7 3 1 2 2 3 6 2 1 2 2 2 3 1
temp_spectre.333 168000000.5 84 24 9 5 1 10 1 3 4 6 0 2 3 1 4 2 0 1 3 1 0 0
temp_spectre.334 168500000.5 76 25 4 6 3 4 2 2 5 7 1 1 3 4 0 1 0 4 1 1 0 0
temp_spectre.335 169000000.5 106 32 8 7 3 2 3 2 7 4 7 2 3 4 1 0 11 4 1 4 1 0
temp_spectre.336 169500000.5 107 35 8 5 6 3 5 2 3 5 6 1 7 1 1 0 11 1 3 3 1 0
temp_spectre.337 170000000.5 40 10 4 1 6 1 4 1 3 2 0 0 5 0 0 0 1 0 2 0 0 0
temp_spectre.338 170500000.5 66 20 10 5 2 0 2 2 4 3 0 3 1 1 0 1 1 2 1 0 3 1
temp_spectre.339 171000000.5 104 26 12 10 3 1 10 1 2 6 5 3 3 1 1 4 2 3 1 0 3 3
temp_spectre.340 171500000.5 51 6 4 6 2 1 11 0 1 3 6 0 2 0 1 3 2 1 0 0 0 2
temp_spectre.341 172000000.5 6 0 1 1 0 0 3 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
