per_plot V2 V3 V4 V5 V6 V7
temp_spectre.100 50500000.5 42 3 10 11 0 2
temp_spectre.101 51000000.5 64 4 9 12 2 2
temp_spectre.102 51500000.5 68 10 8 6 3 3
temp_spectre.103 52000000.5 71 23 8 6 2 4
temp_spectre.104 52500000.5 52 19 1 4 4 3
temp_spectre.105 53000000.5 49 15 1 2 7 5
temp_spectre.106 53500000.5 71 12 2 0 12 6
temp_spectre.107 54000000.5 90 6 11 5 10 4
temp_spectre.108 54500000.5 96 7 12 8 5 2
temp_spectre.109 55000000.5 93 7 4 5 10 3
temp_spectre.110 55500000.5 71 7 5 6 15 2
temp_spectre.111 56000000.5 67 11 8 9 12 0
temp_spectre.112 56500000.5 75 16 9 10 6 1
temp_spectre.113 57000000.5 47 13 5 6 3 1
temp_spectre.114 57500000.5 32 8 5 1 4 0
temp_spectre.115 58000000.5 47 3 10 3 10 0
temp_spectre.116 58500000.5 111 16 10 14 12 11
temp_spectre.117 59000000.5 110 17 6 19 10 12
temp_spectre.118 59500000.5 60 4 6 11 9 1
temp_spectre.119 60000000.5 60 2 11 6 7 0
temp_spectre.120 60500000.5 64 7 9 3 3 0
temp_spectre.121 61000000.5 57 10 2 0 0 3
temp_spectre.122 61500000.5 49 4 0 0 2 3
temp_spectre.123 62000000.5 62 9 2 3 2 1
temp_spectre.124 62500000.5 68 13 5 14 0 2
temp_spectre.125 63000000.5 61 14 5 12 1 1
temp_spectre.126 63500000.5 59 12 3 2 6 2
temp_spectre.127 64000000.5 64 6 3 2 9 3
temp_spectre.128 64500000.5 51 3 2 2 6 1
temp_spectre.129 65000000.5 42 3 0 1 5 1
temp_spectre.130 65500000.5 51 3 0 0 4 1
temp_spectre.131 66000000.5 37 4 1 0 1 0
temp_spectre.132 66500000.5 55 9 17 3 0 0
temp_spectre.133 67000000.5 64 9 22 4 0 1
temp_spectre.134 67500000.5 40 5 8 3 4 6
temp_spectre.135 68000000.5 70 8 7 16 6 10
temp_spectre.136 68500000.5 71 10 5 18 2 5
temp_spectre.137 69000000.5 46 14 0 9 0 0
temp_spectre.138 69500000.5 43 17 3 5 1 0
temp_spectre.139 70000000.5 49 7 5 1 9 2
