per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre.33 17000000.5 67 13 8 4 2 3 3 1 2 2 2 7 2 1 2 3 0 5 2 1 1 1
temp_spectre.34 17500000.5 84 23 7 7 3 4 2 1 3 3 5 8 0 2 1 4 0 4 1 3 1 1
temp_spectre.35 18000000.5 98 33 8 5 1 6 1 4 1 3 5 11 2 2 1 1 0 7 1 4 0 0
temp_spectre.36 18500000.5 88 24 6 7 1 6 1 4 0 2 4 8 2 2 2 3 0 7 1 5 0 0
temp_spectre.37 19000000.5 66 22 7 6 2 2 2 1 1 1 4 1 0 1 1 3 2 0 0 6 2 0
temp_spectre.38 19500000.5 71 23 9 4 3 4 3 2 4 2 1 1 0 1 3 2 2 0 0 3 2 0
temp_spectre.39 20000000.5 79 22 4 6 3 6 5 3 7 2 2 2 1 3 3 4 0 1 1 2 0 1
temp_spectre.40 20500000.5 88 28 4 6 2 5 9 2 4 2 5 3 5 3 1 2 0 1 2 3 0 1
temp_spectre.41 21000000.5 73 21 8 4 3 7 9 1 0 1 4 3 4 1 1 1 0 0 1 1 0 0
temp_spectre.42 21500000.5 57 20 8 4 6 4 4 1 1 0 1 4 0 0 0 1 0 0 0 0 0 0
temp_spectre.43 22000000.5 65 27 7 9 4 1 0 4 1 1 0 5 1 2 0 1 0 0 0 1 0 1
temp_spectre.44 22500000.5 86 30 7 11 6 1 0 4 0 2 1 6 1 5 1 4 0 3 0 2 1 1
temp_spectre.45 23000000.5 95 34 7 7 8 2 0 4 2 1 2 4 0 6 3 3 5 3 0 1 1 0
temp_spectre.46 23500000.5 72 21 5 5 4 4 3 5 4 0 1 1 0 4 3 1 6 0 1 1 0 0
temp_spectre.47 24000000.5 73 16 12 6 8 9 4 2 2 1 1 3 1 1 1 1 1 0 1 1 1 0
temp_spectre.48 24500000.5 70 16 11 5 8 8 2 3 1 2 3 4 1 0 0 1 1 0 0 0 1 2
temp_spectre.49 25000000.5 58 22 2 3 2 3 4 4 2 1 2 1 1 0 0 3 2 0 0 2 1 2
temp_spectre.50 25500000.5 67 29 3 3 4 5 4 3 1 1 0 0 2 0 0 3 3 1 0 2 1 0
temp_spectre.51 26000000.5 56 15 4 3 4 5 3 3 0 1 3 1 1 0 1 1 2 3 1 1 2 0
temp_spectre.52 26500000.5 63 16 3 6 5 2 2 2 4 2 4 1 0 1 2 0 1 3 3 3 2 0
temp_spectre.53 27000000.5 73 16 2 8 6 2 1 1 5 4 1 0 2 3 4 5 3 4 2 2 0 0
temp_spectre.54 27500000.5 77 17 7 9 4 2 3 1 1 8 0 0 2 3 3 5 2 4 1 0 2 0
temp_spectre.55 28000000.5 86 33 8 12 5 3 3 3 1 6 0 1 1 1 0 1 0 1 1 1 3 0
temp_spectre.56 28500000.5 69 26 3 7 3 3 1 4 1 4 2 1 1 2 0 1 3 0 0 1 2 4
temp_spectre.57 29000000.5 76 18 5 7 3 9 2 6 2 5 2 0 0 3 0 0 6 0 1 0 1 5
temp_spectre.58 29500000.5 79 17 6 11 3 13 2 6 2 2 1 2 0 1 0 1 3 1 4 0 0 1
temp_spectre.59 30000000.5 79 27 4 5 4 7 1 2 4 3 2 4 2 1 0 3 0 2 3 0 0 1
temp_spectre.60 30500000.5 93 26 9 0 4 7 3 3 8 4 1 4 4 1 0 2 1 1 5 5 1 1
temp_spectre.61 31000000.5 76 13 10 3 2 6 6 3 4 3 2 2 2 2 0 0 1 1 8 6 1 0
temp_spectre.62 31500000.5 58 13 3 4 2 4 5 1 0 2 5 0 0 3 0 2 4 1 4 1 2 0
temp_spectre.63 32000000.5 58 14 2 2 2 5 1 1 1 1 11 1 0 4 0 3 4 0 1 1 2 0
temp_spectre.64 32500000.5 66 22 3 5 5 5 2 0 1 0 8 3 1 4 1 1 1 0 0 1 3 0
temp_spectre.65 33000000.5 61 17 3 4 6 5 2 2 0 0 0 3 1 1 2 0 1 1 2 1 5 2
temp_spectre.66 33500000.5 56 12 4 4 5 4 0 2 2 1 0 2 0 0 7 1 0 1 2 1 3 2
temp_spectre.67 34000000.5 55 11 6 4 4 2 0 3 2 1 3 4 3 0 8 1 0 0 2 0 1 0
temp_spectre.68 34500000.5 47 7 5 2 2 1 0 3 1 0 5 3 3 0 2 5 0 0 7 0 0 0
temp_spectre.69 35000000.5 50 9 4 4 6 3 6 0 1 1 2 0 1 0 1 5 0 0 5 0 0 1
temp_spectre.70 35500000.5 60 14 4 3 10 8 7 1 3 3 0 1 1 0 2 1 0 0 1 0 0 1
temp_spectre.71 36000000.5 67 20 4 2 5 6 5 5 6 4 0 1 1 1 1 1 0 2 1 0 0 1
temp_spectre.72 36500000.5 64 22 3 4 1 4 4 5 5 4 0 2 1 1 0 0 0 3 1 2 0 1
temp_spectre.73 37000000.5 76 30 1 5 1 3 3 4 2 2 0 2 1 0 1 0 2 5 1 3 7 2
temp_spectre.74 37500000.5 86 33 1 5 2 0 8 4 2 0 0 4 2 0 2 0 5 4 1 1 8 2
temp_spectre.75 38000000.5 73 24 2 4 5 0 6 3 7 4 2 4 4 0 1 0 3 1 1 0 1 0
temp_spectre.76 38500000.5 65 13 7 1 14 2 1 3 6 4 2 3 3 1 2 0 0 2 0 0 0 0
temp_spectre.77 39000000.5 61 8 10 1 15 3 7 2 1 0 2 3 0 2 3 2 0 1 0 0 0 0
temp_spectre.78 39500000.5 83 21 9 3 4 4 9 3 4 2 2 2 0 1 6 3 0 4 3 0 0 2
temp_spectre.79 40000000.5 100 26 5 6 1 5 3 3 18 6 1 2 0 0 5 2 1 8 4 0 0 3
temp_spectre.80 40500000.5 90 26 1 8 3 8 1 3 18 4 3 0 2 0 0 2 1 5 1 1 1 1
temp_spectre.81 41000000.5 62 17 1 7 2 8 0 4 5 2 2 1 2 0 1 1 1 2 1 1 1 0
temp_spectre.82 41500000.5 50 4 3 7 1 4 0 3 2 2 3 1 2 4 2 2 1 3 1 0 0 0
temp_spectre.83 42000000.5 61 7 5 4 1 2 4 3 1 2 5 1 3 5 4 4 0 2 0 3 0 1
temp_spectre.84 42500000.5 49 12 3 1 0 3 4 3 1 2 3 2 3 1 3 2 0 1 0 3 0 1
temp_spectre.85 43000000.5 42 17 3 3 0 4 0 1 2 2 1 2 2 0 0 0 0 1 0 4 0 0
temp_spectre.86 43500000.5 81 45 6 4 2 2 0 1 8 2 0 1 1 0 1 2 1 0 1 4 0 0
temp_spectre.87 44000000.5 84 37 5 3 4 4 3 1 9 1 0 0 5 0 2 2 1 1 1 2 1 0
temp_spectre.88 44500000.5 55 15 3 2 2 4 5 0 2 2 0 0 4 2 2 1 0 1 0 3 3 1
temp_spectre.89 45000000.5 57 25 2 4 1 1 3 1 0 1 2 1 3 2 1 2 0 1 0 1 2 1
temp_spectre.90 45500000.5 68 25 4 7 2 3 3 2 1 1 2 1 3 1 1 2 1 4 0 3 0 0
temp_spectre.91 46000000.5 79 31 13 4 4 3 3 2 2 4 0 0 0 1 1 2 1 3 0 5 0 0
temp_spectre.92 46500000.5 59 19 11 1 7 0 2 2 3 3 1 1 0 0 0 1 0 0 2 3 1 1
temp_spectre.93 47000000.5 49 10 7 3 5 0 3 1 2 0 1 1 0 0 0 0 0 0 4 1 1 4
temp_spectre.94 47500000.5 43 14 6 2 1 4 2 1 1 0 0 0 0 1 0 0 0 0 2 0 0 3
temp_spectre.95 48000000.5 32 14 2 0 3 5 0 1 1 0 1 0 0 1 1 1 0 0 0 1 0 0
temp_spectre.96 48500000.5 50 13 4 2 4 10 1 0 0 1 3 0 0 2 1 3 1 0 0 1 0 0
temp_spectre.97 49000000.5 69 16 6 8 1 9 1 2 0 2 2 1 0 2 0 3 7 1 0 2 2 0
temp_spectre.98 49500000.5 62 20 6 6 3 1 3 2 0 3 0 3 0 0 0 2 6 1 0 2 2 0
temp_spectre.99 50000000.5 32 9 3 3 3 1 5 0 0 2 0 2 0 0 0 1 0 0 0 0 0 0
temp_spectre.100 50500000.5 42 9 2 10 2 1 3 3 1 1 0 0 1 0 0 2 0 0 3 1 0 1
temp_spectre.101 51000000.5 64 28 3 7 2 1 1 5 2 2 0 0 1 0 0 2 0 1 3 1 0 1
temp_spectre.102 51500000.5 68 29 3 10 4 1 0 3 4 1 1 0 0 1 0 1 0 3 0 1 0 0
temp_spectre.103 52000000.5 71 16 5 13 6 7 4 2 3 0 1 0 0 3 0 1 1 2 0 4 0 0
temp_spectre.104 52500000.5 52 11 4 4 4 6 4 2 1 0 1 0 1 4 0 0 3 0 2 4 0 0
temp_spectre.105 53000000.5 49 18 0 1 3 1 0 2 1 0 3 0 1 6 1 0 5 0 2 1 2 0
temp_spectre.106 53500000.5 71 30 1 1 4 2 1 1 0 3 3 3 6 4 1 0 3 0 5 0 2 0
temp_spectre.107 54000000.5 90 31 10 6 7 3 4 1 1 5 1 3 6 0 0 0 3 0 6 0 3 0
temp_spectre.108 54500000.5 96 37 14 6 8 3 4 2 2 2 4 2 0 1 0 1 3 0 3 0 3 0
temp_spectre.109 55000000.5 93 45 7 3 6 1 2 5 2 0 4 2 2 4 2 1 0 0 4 1 1 0
temp_spectre.110 55500000.5 71 29 3 3 4 0 1 6 3 1 1 0 3 3 2 0 1 4 2 3 2 0
temp_spectre.111 56000000.5 67 18 5 4 7 7 1 3 6 1 1 0 1 0 0 0 2 7 0 2 2 0
temp_spectre.112 56500000.5 75 23 6 10 9 9 1 2 5 0 0 0 0 2 1 0 1 3 0 1 2 0
temp_spectre.113 57000000.5 47 15 5 7 4 2 1 1 1 1 0 0 0 2 1 1 0 1 0 3 2 0
temp_spectre.114 57500000.5 32 11 6 3 2 0 1 0 0 1 0 0 0 0 0 2 0 1 1 3 1 0
temp_spectre.115 58000000.5 47 16 5 5 2 0 2 2 2 0 0 1 2 2 0 4 0 0 1 2 0 0
temp_spectre.116 58500000.5 111 31 8 8 4 6 7 6 3 2 2 4 4 5 0 3 3 0 5 2 3 4
temp_spectre.117 59000000.5 110 27 9 9 4 7 5 4 2 2 2 10 2 3 1 4 3 1 5 1 4 4
temp_spectre.118 59500000.5 60 12 5 5 2 8 2 0 1 1 1 10 3 0 1 4 0 1 0 0 1 0
temp_spectre.119 60000000.5 60 14 5 7 2 9 3 6 0 3 1 4 3 0 0 0 0 0 1 0 0 0
temp_spectre.120 60500000.5 64 21 6 5 0 2 1 11 3 2 0 5 0 2 0 0 0 0 1 0 0 0
temp_spectre.121 61000000.5 57 22 5 0 2 0 1 8 5 1 0 4 0 2 0 0 0 0 0 0 1 0
temp_spectre.122 61500000.5 49 17 4 2 2 4 2 4 5 1 0 0 0 0 0 0 0 0 1 0 1 0
temp_spectre.123 62000000.5 62 20 3 2 0 7 1 3 4 4 6 1 0 0 0 0 3 0 1 0 0 0
temp_spectre.124 62500000.5 68 15 7 1 3 5 2 4 3 5 10 4 1 1 1 0 3 0 0 0 0 1
temp_spectre.125 63000000.5 61 9 11 3 5 5 6 3 2 2 4 5 1 1 1 0 0 0 1 0 0 1
temp_spectre.126 63500000.5 59 18 11 3 3 4 7 1 0 3 1 2 0 1 0 1 1 0 1 1 0 0
temp_spectre.127 64000000.5 64 19 9 4 2 1 8 0 3 5 1 1 1 5 0 1 1 1 0 2 0 0
temp_spectre.128 64500000.5 51 12 5 6 1 0 7 1 4 3 0 1 3 6 0 0 0 1 0 1 0 0
temp_spectre.129 65000000.5 42 13 4 4 2 2 5 1 1 0 1 0 4 2 0 1 0 0 0 0 1 0
temp_spectre.130 65500000.5 51 29 2 1 3 6 3 0 0 0 1 0 2 0 0 1 0 0 1 0 1 0
temp_spectre.131 66000000.5 37 25 4 1 1 4 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
temp_spectre.132 66500000.5 55 9 9 4 4 5 4 2 0 1 3 1 5 0 2 0 2 0 0 0 0 0
temp_spectre.133 67000000.5 64 10 7 4 4 6 3 2 0 1 7 2 9 0 2 0 2 0 0 1 0 0
temp_spectre.134 67500000.5 40 10 4 1 2 1 1 0 0 0 5 1 4 0 0 1 0 0 2 6 2 0
temp_spectre.135 68000000.5 70 15 5 6 3 2 2 0 1 0 1 2 3 0 0 10 2 3 3 8 3 1
temp_spectre.136 68500000.5 71 9 7 12 7 2 2 0 2 0 3 2 3 0 1 9 2 3 1 3 1 1
temp_spectre.137 69000000.5 46 3 6 7 8 1 3 0 1 0 3 2 3 5 1 0 0 0 0 0 1 0
temp_spectre.138 69500000.5 43 8 4 2 2 5 2 0 1 1 0 2 3 5 0 0 0 0 2 1 3 0
temp_spectre.139 70000000.5 49 13 3 2 1 6 0 8 1 2 0 0 0 0 1 0 0 1 2 1 3 0
temp_spectre.140 70500000.5 63 16 4 16 5 2 0 10 0 2 0 0 0 1 1 0 0 1 0 0 1 0
temp_spectre.141 71000000.5 55 16 6 16 6 2 1 2 1 1 1 0 0 1 0 0 0 0 0 0 0 1
temp_spectre.142 71500000.5 92 25 12 4 5 5 6 1 2 3 2 1 2 0 0 1 1 0 1 2 6 8
temp_spectre.143 72000000.5 137 28 22 21 9 8 6 1 1 3 1 1 3 0 0 1 2 0 1 2 7 7
temp_spectre.144 72500000.5 88 16 16 21 6 5 1 0 0 4 2 0 1 0 0 1 1 0 0 1 3 1
temp_spectre.145 73000000.5 25 6 3 4 0 0 0 0 0 4 2 0 0 0 0 1 0 1 0 1 2 1
temp_spectre.146 73500000.5 30 4 10 2 4 2 0 1 0 0 0 0 0 5 0 1 0 1 0 0 0 0
temp_spectre.147 74000000.5 50 10 10 5 5 2 0 3 0 0 0 0 0 8 0 1 0 0 3 0 0 0
temp_spectre.148 74500000.5 57 21 4 6 3 1 0 2 1 3 2 1 1 4 0 0 0 0 3 0 0 0
temp_spectre.149 75000000.5 36 14 4 2 2 1 0 0 1 4 2 1 1 1 1 0 0 0 0 0 0 0
temp_spectre.150 75500000.5 15 5 0 0 0 0 1 0 0 1 0 0 0 7 1 0 0 0 0 0 0 0
temp_spectre.151 76000000.5 29 10 0 3 0 0 1 2 0 2 0 0 0 8 0 0 0 0 0 0 2 0
temp_spectre.152 76500000.5 27 5 0 4 1 0 1 10 0 2 0 0 0 1 0 0 0 0 0 0 2 0
temp_spectre.153 77000000.5 18 2 0 1 2 0 1 8 1 0 0 0 0 0 0 2 1 0 0 0 0 0
temp_spectre.154 77500000.5 30 5 3 5 2 1 0 1 2 0 0 0 0 0 0 4 1 0 1 1 1 0
temp_spectre.155 78000000.5 59 15 12 8 2 5 0 1 1 0 0 1 0 1 0 2 0 0 2 1 2 0
temp_spectre.156 78500000.5 83 23 19 5 4 5 4 0 2 4 2 2 2 1 0 0 0 0 1 1 2 0
temp_spectre.157 79000000.5 52 11 10 3 3 1 4 0 4 4 4 1 2 0 0 0 0 0 0 1 1 0
temp_spectre.158 79500000.5 7 1 0 1 0 1 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.159 80000000.5 51 17 8 6 3 4 1 3 1 0 0 2 1 1 0 0 0 0 1 0 1 1
temp_spectre.160 80500000.5 71 18 9 8 3 8 1 3 1 1 2 3 2 2 1 0 0 0 3 0 1 1
temp_spectre.161 81000000.5 29 3 2 3 0 5 0 0 0 1 4 1 1 1 1 0 0 0 3 0 0 0
temp_spectre.162 81500000.5 18 4 2 2 1 0 0 0 3 0 2 0 1 0 1 0 0 0 1 0 0 0
temp_spectre.163 82000000.5 42 7 7 3 1 3 1 1 3 1 2 0 2 1 3 1 1 0 1 0 3 1
temp_spectre.164 82500000.5 31 4 6 2 0 3 1 1 0 1 2 0 1 1 2 1 1 0 1 0 3 1
temp_spectre.165 83000000.5 26 1 0 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 1 4 9
temp_spectre.166 83500000.5 30 3 1 0 0 0 0 0 0 0 0 0 0 4 0 1 0 0 1 1 4 9
temp_spectre.167 84000000.5 37 10 9 3 1 2 2 0 2 0 0 2 1 0 2 0 0 0 1 1 1 0
temp_spectre.168 84500000.5 44 11 8 3 1 2 2 1 2 0 0 2 4 0 3 3 0 0 0 1 1 0
temp_spectre.169 85000000.5 33 9 5 0 2 0 0 1 4 0 0 0 3 0 3 3 0 0 0 1 2 0
temp_spectre.170 85500000.5 27 6 5 0 2 1 0 2 4 0 0 0 0 0 2 0 0 0 0 1 3 0
temp_spectre.171 86000000.5 7 0 0 0 0 1 0 3 1 0 0 0 0 0 0 0 0 0 0 0 1 0
temp_spectre.172 86500000.5 4 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.173 87000000.5 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.174 88000000.5 25 8 2 5 5 1 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.175 88500000.5 48 18 3 6 5 2 3 1 2 2 0 0 0 0 1 2 0 1 0 0 0 0
temp_spectre.176 89000000.5 37 11 2 1 1 1 2 1 3 2 0 0 0 0 1 2 0 2 0 0 2 0
temp_spectre.177 89500000.5 16 1 1 0 1 0 1 1 3 0 0 0 0 0 0 1 0 1 0 0 2 0
temp_spectre.178 90000000.5 7 1 2 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1
temp_spectre.179 90500000.5 58 10 5 1 5 8 1 1 0 3 0 2 2 0 0 1 0 2 0 1 11 1
temp_spectre.180 91000000.5 247 78 31 20 17 20 11 3 7 6 0 4 3 2 1 3 0 1 2 3 15 6
temp_spectre.181 91500000.5 232 83 32 21 13 13 10 2 8 4 0 2 1 4 1 2 4 0 2 2 4 7
temp_spectre.182 92000000.5 90 31 11 4 4 3 2 3 1 1 0 1 1 3 3 0 4 0 0 2 0 4
temp_spectre.183 92500000.5 58 18 7 4 3 2 2 3 1 0 0 1 1 1 4 0 0 0 0 2 0 3
temp_spectre.184 93000000.5 12 1 1 4 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 1 0
temp_spectre.185 93500000.5 12 5 1 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
temp_spectre.186 94000000.5 10 5 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.187 94500000.5 6 0 0 3 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.188 95000000.5 9 5 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
temp_spectre.189 95500000.5 22 7 1 0 0 3 0 1 1 2 0 1 1 0 1 0 1 0 0 0 0 0
temp_spectre.190 96000000.5 38 18 2 0 0 2 0 1 2 4 0 1 1 0 2 0 1 0 0 0 0 0
temp_spectre.191 96500000.5 248 72 22 29 20 11 7 9 5 7 11 4 4 4 8 5 6 1 3 4 3 6
temp_spectre.192 97000000.5 233 58 21 30 20 12 7 9 4 5 11 5 5 4 8 5 6 1 3 4 4 6
temp_spectre.193 97500000.5 11 4 0 1 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0 1 0
temp_spectre.194 98000000.5 9 3 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0
temp_spectre.195 98500000.5 11 4 0 0 0 1 0 0 2 1 0 0 1 0 0 0 0 0 1 0 0 0
temp_spectre.196 99000000.5 27 14 0 2 0 0 0 0 4 3 1 1 0 0 2 0 0 0 0 0 0 0
temp_spectre.197 99500000.5 49 16 5 7 0 1 1 0 3 4 1 2 2 0 2 1 1 0 0 1 0 1
temp_spectre.198 100000000.5 38 7 5 7 0 5 1 2 0 2 0 1 2 0 1 1 1 0 0 1 0 1
temp_spectre.199 100500000.5 29 6 2 3 1 7 0 2 0 0 0 0 0 2 1 0 0 0 0 5 0 0
temp_spectre.200 101000000.5 44 7 6 2 1 4 0 0 2 0 1 0 2 3 2 1 0 0 3 7 3 0
temp_spectre.201 101500000.5 39 6 7 2 1 1 1 1 3 0 2 0 2 1 3 1 0 0 3 2 3 0
temp_spectre.202 102000000.5 36 8 6 4 1 2 2 1 1 1 1 0 0 0 1 0 0 0 0 0 1 4
temp_spectre.203 102500000.5 44 8 4 6 2 3 4 4 0 1 1 0 0 0 0 0 0 0 0 0 2 5
temp_spectre.204 103000000.5 25 3 2 4 2 1 3 5 0 0 1 0 0 0 1 0 0 0 0 0 1 1
temp_spectre.205 103500000.5 12 3 2 1 0 0 2 1 0 0 2 0 0 0 1 0 0 0 0 0 0 0
temp_spectre.206 104000000.5 29 11 1 0 2 1 2 6 0 1 2 0 1 0 0 0 1 0 0 0 1 0
temp_spectre.207 104500000.5 46 10 5 6 6 3 1 9 0 1 0 1 1 0 0 0 1 0 0 0 1 0
temp_spectre.208 105000000.5 46 5 5 9 5 2 3 4 2 2 0 5 0 0 1 0 2 0 0 0 0 0
temp_spectre.209 105500000.5 43 7 3 4 2 1 4 2 2 2 0 5 1 0 2 1 3 0 0 2 0 0
temp_spectre.210 106000000.5 55 12 10 3 1 1 6 2 0 1 1 7 1 1 1 1 1 0 0 2 1 0
temp_spectre.211 106500000.5 78 30 10 3 1 0 4 4 5 1 1 8 1 2 0 0 0 0 2 3 1 0
temp_spectre.212 107000000.5 72 31 6 4 1 3 4 4 5 0 1 2 2 1 1 0 0 0 3 3 0 0
temp_spectre.213 107500000.5 123 31 9 7 1 5 6 2 2 3 1 5 5 7 6 9 8 13 2 1 0 0
temp_spectre.214 108000000.5 149 36 12 5 2 3 6 5 2 7 3 5 7 8 7 12 8 13 5 1 2 0
temp_spectre.215 108500000.5 104 24 16 1 3 4 5 6 0 7 5 1 6 3 7 5 1 1 4 1 2 2
temp_spectre.216 109000000.5 73 12 11 0 6 5 1 2 3 3 3 2 6 2 6 3 1 1 1 1 0 2
temp_spectre.217 109500000.5 96 45 4 0 5 4 1 1 10 0 1 4 3 0 1 2 6 2 4 1 0 0
temp_spectre.218 110000000.5 120 53 10 1 3 2 2 1 8 4 0 4 2 6 0 3 8 2 6 2 3 0
temp_spectre.219 110500000.5 74 21 10 2 2 2 1 0 1 4 0 1 2 7 0 2 2 0 5 1 9 2
temp_spectre.220 111000000.5 64 19 6 2 0 4 0 0 1 0 1 0 7 1 2 1 0 5 3 1 8 2
temp_spectre.221 111500000.5 79 23 8 3 2 6 3 4 2 1 1 1 7 1 3 1 0 5 3 1 2 0
temp_spectre.222 112000000.5 81 25 8 4 2 4 7 4 2 1 1 1 4 5 1 0 2 0 2 6 0 1
temp_spectre.223 112500000.5 67 16 13 4 1 1 4 0 1 1 1 0 4 4 0 1 2 0 1 6 1 2
temp_spectre.224 113000000.5 53 12 15 5 3 5 0 1 0 1 0 0 0 0 0 1 0 0 1 2 2 1
temp_spectre.225 113500000.5 61 21 8 10 6 5 0 2 2 1 0 0 0 0 0 0 1 0 1 2 1 0
temp_spectre.226 114000000.5 92 29 4 18 10 5 1 1 2 2 0 0 0 0 2 0 1 2 2 1 3 8
temp_spectre.227 114500000.5 90 28 9 13 7 6 1 3 1 1 1 0 0 0 2 0 0 2 1 1 3 11
temp_spectre.228 115000000.5 77 22 12 3 4 4 6 5 4 0 9 2 0 0 0 2 0 0 0 1 0 3
temp_spectre.229 115500000.5 50 12 4 1 3 2 7 3 3 0 8 2 0 0 0 2 0 1 0 1 0 0
temp_spectre.230 116000000.5 28 12 1 1 1 1 2 1 1 1 0 0 0 0 0 1 0 1 0 2 1 0
temp_spectre.231 116500000.5 55 19 4 2 1 3 2 5 2 1 0 2 3 0 0 1 0 0 1 2 3 0
temp_spectre.232 117000000.5 80 21 6 3 0 2 2 6 3 3 0 3 8 3 1 0 3 2 2 4 3 0
temp_spectre.233 117500000.5 82 25 6 4 2 2 2 6 2 3 1 3 8 3 1 0 3 2 1 4 1 1
