per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre 500000.5 96 22 15 5 2 6 3 3 2 3 6 1 2 1 4 2 3 3 0 1 0 6
temp_spectre.1 1000000.5 70 16 9 3 3 3 4 3 2 2 2 2 1 1 2 1 0 1 2 1 1 8
temp_spectre.2 1500000.5 64 12 5 1 3 0 2 5 2 5 0 6 1 4 1 0 1 1 4 2 3 4
temp_spectre.3 2000000.5 52 11 6 1 1 2 0 3 1 6 0 4 4 3 1 0 1 1 2 1 2 2
temp_spectre.4 2500000.5 44 12 9 1 1 3 3 0 0 1 0 0 6 0 1 1 2 2 2 0 0 0
temp_spectre.5 3000000.5 46 9 8 0 3 2 3 1 0 0 3 1 2 0 1 2 4 5 2 0 0 0
temp_spectre.6 3500000.5 45 13 4 1 3 1 0 2 0 0 3 1 4 1 0 1 2 5 0 3 1 0
temp_spectre.7 4000000.5 41 16 3 1 2 0 2 1 0 0 0 0 6 3 0 0 2 1 0 3 1 0
temp_spectre.8 4500000.5 55 21 4 5 4 0 2 3 0 1 0 0 3 4 0 0 2 0 2 1 2 1
temp_spectre.9 5000000.5 104 29 14 9 9 2 4 7 4 4 6 0 2 3 1 1 0 1 2 1 3 1
temp_spectre.10 5500000.5 198 45 25 13 12 8 10 11 5 11 16 11 5 5 4 2 1 2 1 1 5 0
temp_spectre.11 6000000.5 398 111 52 26 20 17 14 17 23 16 33 23 15 10 7 1 1 2 1 1 4 0
temp_spectre.12 6500000.5 313 94 45 23 17 14 9 12 24 8 24 13 14 7 4 0 0 1 1 1 1 0
temp_spectre.13 7000000.5 76 17 11 10 5 4 1 4 4 1 2 1 4 2 1 0 0 1 2 1 1 0
temp_spectre.14 7500000.5 97 14 14 7 3 5 5 5 3 11 4 1 2 4 1 1 3 3 2 1 5 0
temp_spectre.15 8000000.5 102 13 15 6 3 7 6 3 3 14 3 2 2 5 0 2 3 6 1 2 6 0
temp_spectre.16 8500000.5 283 71 47 30 19 16 8 7 10 12 3 7 5 6 4 5 3 9 2 3 5 6
temp_spectre.17 9000000.5 394 101 67 39 31 21 8 8 21 11 7 8 8 9 7 4 7 5 4 6 7 9
temp_spectre.18 9500000.5 168 41 28 12 20 8 2 2 13 3 4 2 5 5 3 1 4 0 2 5 4 3
temp_spectre.19 10000000.5 46 13 7 1 7 0 1 3 0 2 0 0 6 2 0 1 0 0 1 1 1 0
temp_spectre.20 10500000.5 72 21 8 6 1 1 7 2 4 4 2 1 5 2 1 2 1 1 3 0 0 0
temp_spectre.21 11000000.5 83 20 6 7 2 3 10 3 11 2 3 3 0 0 1 3 2 1 4 1 1 0
temp_spectre.22 11500000.5 72 13 5 7 3 6 3 6 10 0 2 4 1 1 1 1 2 0 4 1 1 0
temp_spectre.23 12000000.5 90 19 8 12 7 5 2 6 7 4 4 5 1 1 1 0 1 1 2 1 0 0
temp_spectre.24 12500000.5 93 14 6 10 8 5 4 9 5 4 4 4 1 0 0 7 0 1 0 1 3 0
temp_spectre.25 13000000.5 252 41 28 28 24 16 13 21 3 4 1 5 3 3 0 11 5 8 2 11 7 4
temp_spectre.26 13500000.5 279 52 34 27 24 18 16 17 3 7 2 6 6 6 2 5 11 9 3 11 6 4
temp_spectre.27 14000000.5 96 22 7 2 3 8 5 2 3 5 3 5 4 3 2 1 11 5 1 0 2 0
temp_spectre.28 14500000.5 31 9 0 0 1 2 0 0 2 2 2 3 0 0 0 0 5 4 0 0 0 0
temp_spectre.29 15000000.5 14 3 0 2 2 0 0 0 1 1 1 0 0 0 0 0 0 1 0 1 2 0
temp_spectre.30 15500000.5 58 16 3 3 3 3 1 2 3 1 4 3 1 4 1 0 0 1 0 6 3 0
temp_spectre.31 16000000.5 85 16 7 6 3 5 5 4 4 0 4 5 6 4 1 0 4 1 0 7 1 0
temp_spectre.32 16500000.5 63 9 9 5 2 3 5 3 2 0 1 4 7 0 1 0 4 2 1 2 0 0
