low_bound_theta upper_bound_theta mid_wind_theta Nmb_Positions_theta Nb_SNP_theta pop1 pop2 pop3 pop4 pop1+pop2+pop3+pop4
temp_spectre 0 1e+06 500000.5 42 42 0.158201058201058 0.266594516594517 0.206698063840921 0.284126984126984 0.254604280736685
temp_spectre.1 5e+05 1500000 1000000.5 56 56 0.157539682539683 0.275162337662338 0.23469387755102 0.229761904761905 0.269723743155799
temp_spectre.2 1e+06 2e+06 1500000.5 80 80 0.153055555555556 0.290340909090909 0.276648351648352 0.135 0.26239837398374
temp_spectre.3 1500000 2500000 2000000.5 77 77 0.18008658008658 0.292994883903975 0.262451833880405 0.167099567099567 0.261957554640481
temp_spectre.4 2e+06 3e+06 2500000.5 79 79 0.248663853727145 0.270233985423859 0.245374878286271 0.248101265822785 0.265969802555168
temp_spectre.5 2500000 3500000 3000000.5 86 86 0.206201550387597 0.232558139534884 0.256580628673652 0.237984496124031 0.244023985090349
temp_spectre.6 3e+06 4e+06 3500000.5 82 82 0.142547425474255 0.225240206947524 0.25797373358349 0.26260162601626 0.238109401999943
temp_spectre.7 3500000 4500000 4000000.5 64 64 0.170833333333333 0.253787878787879 0.272321428571429 0.246875 0.258946718931475
temp_spectre.8 4e+06 5e+06 4500000.5 56 56 0.251587301587302 0.228896103896104 0.260204081632653 0.198809523809524 0.25570350091256
temp_spectre.9 4500000 5500000 5000000.5 71 71 0.276369327073552 0.249893299189074 0.258783470051076 0.189671361502347 0.274492483355417
temp_spectre.10 5e+06 6e+06 5500000.5 68 68 0.278104575163399 0.255793226381462 0.255009696186167 0.2 0.274936803989889
temp_spectre.11 5500000 6500000 6000000.5 68 68 0.197712418300654 0.164661319073084 0.217032967032967 0.229411764705882 0.215566714490674
temp_spectre.12 6e+06 7e+06 6500000.5 66 66 0.201346801346801 0.138888888888889 0.256909756909757 0.197979797979798 0.243480097138634
temp_spectre.13 6500000 7500000 7000000.5 76 76 0.274561403508772 0.21451355661882 0.293666859456333 0.224561403508772 0.292530105752185
temp_spectre.14 7e+06 8e+06 7500000.5 89 89 0.257178526841448 0.249063670411985 0.289665390788986 0.289138576779026 0.302457294235864
temp_spectre.15 7500000 8500000 8000000.5 92 92 0.209178743961353 0.251152832674572 0.311992355470616 0.310144927536232 0.315343634802808
temp_spectre.16 8e+06 9e+06 8500000.5 84 84 0.184920634920635 0.255050505050505 0.300889586603872 0.261111111111111 0.286212045793927
temp_spectre.17 8500000 9500000 9000000.5 61 61 0.191985428051002 0.196472925981123 0.247703116555576 0.146448087431694 0.227813636450182
temp_spectre.18 9e+06 1e+07 9500000.5 73 73 0.167732115677321 0.219178082191781 0.212705103116062 0.130593607305936 0.220180420982292
temp_spectre.19 9500000 10500000 10000000.5 101 101 0.18987898789879 0.256975697569757 0.241431835491241 0.176897689768977 0.250445602051494
temp_spectre.20 1e+07 1.1e+07 10500000.5 105 105 0.208042328042328 0.197691197691198 0.218942961800105 0.204444444444444 0.22769758309828
temp_spectre.21 10500000 11500000 11000000.5 94 94 0.214420803782506 0.190844616376531 0.185527238718728 0.229078014184397 0.209368127115922
temp_spectre.22 1.1e+07 1.2e+07 11500000.5 108 108 0.260288065843621 0.225729517396184 0.213980463980464 0.264814814814815 0.241364477136835
temp_spectre.23 11500000 12500000 12000000.5 115 115 0.237874396135266 0.248748353096179 0.237649307214525 0.238840579710145 0.253577740746352
temp_spectre.24 1.2e+07 1.3e+07 12500000.5 67 67 0.187728026533997 0.259158751696065 0.234049532556995 0.1681592039801 0.243347721323695
temp_spectre.25 12500000 13500000 13000000.5 66 66 0.244781144781145 0.255739210284665 0.254079254079254 0.206060606060606 0.254267412803998
temp_spectre.26 1.3e+07 1.4e+07 13500000.5 108 108 0.284156378600823 0.270342312008979 0.271571021571022 0.234567901234568 0.279724265496623
temp_spectre.27 13500000 14500000 14000000.5 99 99 0.240179573512907 0.237526782981328 0.225885225885226 0.216835016835017 0.245627001724563
temp_spectre.28 1.4e+07 1.5e+07 14500000.5 86 86 0.156589147286822 0.180937279774489 0.163557372859698 0.148837209302326 0.169745833670961
temp_spectre.29 14500000 15500000 15000000.5 85 85 0.163921568627451 0.175935828877005 0.16961861667744 0.0933333333333333 0.1717974994876
temp_spectre.30 1.5e+07 1.6e+07 15500000.5 83 83 0.2190093708166 0.211573566995254 0.220045015225738 0.155020080321285 0.229657305178904
temp_spectre.31 15500000 16500000 16000000.5 80 80 0.228611111111111 0.231818181818182 0.236813186813187 0.229166666666667 0.252003484320558
temp_spectre.32 1.6e+07 1.7e+07 16500000.5 61 61 0.161020036429873 0.199453551912568 0.17906683480454 0.192349726775956 0.198301631728261
temp_spectre.33 16500000 17500000 17000000.5 79 79 0.162306610407876 0.248369773686229 0.220197523994992 0.186497890295359 0.239462503124127
temp_spectre.34 1.7e+07 1.8e+07 17500000.5 91 91 0.202686202686203 0.244422244422244 0.256370003622751 0.210989010989011 0.271611083457773
temp_spectre.35 17500000 18500000 18000000.5 89 89 0.193258426966292 0.208375893769152 0.235337696011853 0.133333333333333 0.239856973208576
temp_spectre.36 1.8e+07 1.9e+07 18500000.5 80 80 0.161388888888889 0.243560606060606 0.209340659340659 0.105833333333333 0.229065040650407
temp_spectre.37 18500000 19500000 19000000.5 87 87 0.127713920817369 0.213688610240334 0.191612984716433 0.129501915708812 0.193346416222783
temp_spectre.38 1.9e+07 2e+07 19500000.5 117 117 0.145679012345679 0.207070707070707 0.189161266084343 0.147578347578348 0.196740026008319
temp_spectre.39 19500000 20500000 20000000.5 105 105 0.172063492063492 0.251226551226551 0.19403453689168 0.196190476190476 0.240285382445661
temp_spectre.40 2e+07 2.1e+07 20500000.5 125 125 0.144711111111111 0.255393939393939 0.218285714285714 0.188266666666667 0.233059233449477
temp_spectre.41 20500000 21500000 21000000.5 144 144 0.125617283950617 0.257049663299663 0.205509768009768 0.182407407407407 0.212656471802813
